408;4-7;
95;48;
581;4-8;
963;48-50;
1037;4-9;
118;5;
866;5-(106);
846;50;
849;50-62;
1066;50-65;
107;50-68;
885;50-74;
1040;5-10;
942;5-11;
824;5-12;
941;5-12;
860;5-13;
96;52;
919;52-56;
918;52-68;
108;54;
98;56;
166;5-6;
657;5-6/13-14;
575;5-6/6-7;
1254;5-6/6-7/7-8/8-9/9-10;
519;5-6/7-8;
1170;5-6/7-8/9-10/11-12;
487;5-6/8-9;
730;5-6\11-12;
715;5-6\9-10;
407;56-62;
861;56-62;
848;56-68;
917;56-74;
916;56-80;
881;56-86;
890;56-98;
173;5-7;
874;5-7/7-9;
319;58;
288;5-8;
795;5-9;
119;6;
1263;6/7/8/9/9-10;
99;60;
1063;60-70;
1105;60-75;
882;60-76;
1104;60-80;
651;6-10;
1051;6-11;
580;6-12;
112;62;
841;62-104;
893;62-110;
306;62-68;
522;62-74;
854;62-80;
595;62-86;
886;62-92;
589;62-98;
100;64;
313;65;
1102;65-75;
1065;65-80;
456;66;
151;6-7;
1026;6-7/7-8;
484;6-7/9-10;
719;6-7\10-11;
803;6-7\11-12;
994;6-7\12-13;
782;6-7\8-9;
101;68;
215;6-8;
1034;6-8/8-10;
1035;6-8/9-11;
889;68-116;
332;68-74;
1095;68-74/80-86;
847;68-80;
583;68-86;
812;68-92;
884;68-98;
217;6-9;
145;7;
867;7-(116);
312;70;
1073;70-80;
1106;70-85;
402;7-10;
606;7-11;
600;7-12;
1058;7-13;
905;7-14;
102;72;
157;74;
851;74-104;
853;74-110;
856;74-116;
113;74-80;
1099;74-80/80-86;
431;74-86;
591;74-92;
590;74-98;
311;75;
1101;75,80,85,90;
1107;75-85;
1067;75-90;
104;76;
179;77-82;
165;7-8;
231;7-8;
772;7-8/10-11;
702;7-8/13-14;
1046;7-8/8-9;
1255;7-8/8-9/9-10/10-11/11-12;
494;7-8/9-10;
1260;7-8/9-10/10-11/11-12/12-1;
728;7-8\11-12;
1267;7-8-9-10-11;
229;7-9;
120;8;
914;8/9;
105;80;
971;80-100;
764;80-104;
970;80-104;
787;80-110;
857;80-116;
844;80-128;
883;80-134;
278;80-86;
1074;80-90;
523;80-92;
535;80-98;
221;8-10;
1044;8-11;
573;8-12;
1045;8-13;
774;8-14;
612;8-16;
141;81-86;
880;82-116;
879;82-98;
180;83-89;
109;84;
310;85;
156;86;
517;86-104;
654;86-110;
768;86-116;
892;86-128;
858;86-140;
142;86-92;
767;86-92/104-110;
361;86-98;
110;88;
152;8-9;
533;8-9/11-12;
909;8-9/12;
576;8-9/12-13;
1258;8-9/9-10/10-11/11-12/12-1;
593;8-9\10-11;
